# x0 y0 zi zf ux uy uz E deltaE deltaX
-1.33231759457 -7.93942046141 -6.15649090495 -6.17523168531 -0.69453516207 -0.707742829808 -0.12930968836 1.597 0.01 0.144929437185
-1.42604181874 -8.04663461123 -6.17523168531 -6.20687673188 -0.598258475154 -0.771040764442 -0.218135133515 1.587 0.01 0.145070837772
-1.51976384808 -8.15023478384 -6.20687673188 -6.250058327 -0.693153015626 -0.656590049003 -0.297369138411 1.577 0.01 0.145212093461
-1.60961616729 -8.24859346147 -6.250058327 -6.31789772655 -0.543850754067 -0.697422223083 -0.466721115926 1.567 0.01 0.145353182536
-1.69057135012 -8.34498603213 -6.31789772655 -6.39501125884 -0.569507198915 -0.628290853253 -0.530011466011 1.557 0.01 0.145494083122
-1.76282292745 -8.43718913116 -6.39501125884 -6.48861569655 -0.423272722393 -0.638539782775 -0.64273411944 1.547 0.01 0.145634773187
-1.81775739907 -8.5286513338 -6.48861569655 -6.59271731875 -0.330822432075 -0.616914193935 -0.714124215916 1.537 0.01 0.145775230535
-1.86069402245 -8.60937994712 -6.59271731875 -6.71419961599 -0.258009243739 -0.490190903152 -0.832552766263 1.527 0.01 0.145915432817
-1.89873175689 -8.69255288035 -6.71419961599 -6.81843364673 -0.263105298331 -0.649202126287 -0.713661124915 1.517 0.01 0.14605535752
-1.94035492946 -8.77479337877 -6.81843364673 -6.93889754954 -0.306565971754 -0.47649753261 -0.823994785408 1.507 0.01 0.146194981979
-1.98499337377 -8.85202575199 -6.93889754954 -7.04955731511 -0.303814530632 -0.579516950879 -0.756212162439 1.497 0.01 0.146334284309
-2.00492743241 -8.93575458312 -7.04955731511 -7.17039431376 0.0313392699071 -0.564297342058 -0.82497658143 1.487 0.01 0.14647324708
-2.00845554446 -9.01102370858 -7.17039431376 -7.29982068091 -0.0794382467973 -0.46301703803 -0.882782412285 1.477 0.01 0.146611855141
-2.02955278954 -9.07950396289 -7.29982068091 -7.42564127592 -0.208162739287 -0.470709899611 -0.857379999988 1.467 0.01 0.146750093325
-2.04233469946 -9.15251207449 -7.42564127592 -7.5506674365 0.0339311814637 -0.52379724413 -0.851166917806 1.457 0.01 0.14688794637
-2.03666772071 -9.22842243072 -7.5506674365 -7.67703575234 0.0431889726925 -0.509307993818 -0.859499901146 1.447 0.01 0.147025398921
-2.0211981363 -9.29919254901 -7.67703575234 -7.80591058856 0.167089466814 -0.452962234352 -0.875731879248 1.437 0.01 0.147162435527
-1.98608286854 -9.35589313222 -7.80591058856 -7.93792974102 0.309854310223 -0.317328209391 -0.896266207084 1.427 0.01 0.147299040648
-1.9428263878 -9.39546118523 -7.93792974102 -8.07583286433 0.277218189457 -0.219716631471 -0.935347356488 1.417 0.01 0.147435198648
-1.90766695948 -9.43638067434 -8.07583286433 -8.21171967554 0.199545703399 -0.335059385638 -0.920823935587 1.407 0.01 0.147570893802
-1.90124658459 -9.49788192017 -8.21171967554 -8.33872605424 -0.112428578567 -0.497998887824 -0.859858664228 1.397 0.01 0.147706110292
-1.9162537828 -9.56444220404 -8.33872605424 -8.47337142326 -0.0906921869329 -0.402886592234 -0.910745475436 1.387 0.01 0.147840832211
-1.93062038236 -9.62327581287 -8.47337142326 -8.60859591176 -0.10356604973 -0.392661675734 -0.913833071055 1.377 0.01 0.147975043564
-1.95573241647 -9.69786162656 -8.60859591176 -8.72006328097 -0.23563012056 -0.614869223946 -0.752604998474 1.367 0.01 0.148108728264
-1.98368968265 -9.78331931513 -8.72006328097 -8.84318237225 -0.141765985855 -0.53863242726 -0.830528454394 1.357 0.01 0.14824187014
-1.9968998018 -9.87286737823 -8.84318237225 -8.95334386305 -0.0364252964809 -0.668903884086 -0.742455918982 1.347 0.01 0.148374452932
-2.0010496575 -9.95111666478 -8.95334386305 -9.09034089676 -0.0194949631174 -0.385507304657 -0.92249881543 1.337 0.01 0.148506460296
-2.01103303885 -9.98907808181 -9.09034089676 -9.23680971537 -0.11485386642 -0.125624163562 -0.985407103129 1.327 0.01 0.148637875801
-2.03853318721 -10.0113340464 -9.23680971537 -9.37832247798 -0.254950579891 -0.173688573264 -0.95122682959 1.317 0.01 0.148768682934
